Text,Label
"As a Data user, I want to have the 12-19-2017 deletions processed.",Functional
"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.",Usability
"As a UI designer, I want to report to the Agencies about user testing, so that they are aware of their contributions to making Broker a better UX.",Usability
"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 3 of the Help page edits, so that I can get approvals from leadership.",Usability
"As a Developer, I want to be able to log better, so that I can troubleshoot issues with particular submissions and functions.",Maintainability
"As a Developer, I want to add the updates on a FABS submission to be modified when the publishStatus changes, so that I know when the status of the submission has changed.",Functional
"As a DevOps engineer, I want New Relic to provide useful data across all applications.",Performance
"As a UI designer, I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.",Usability
"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.",Usability
"As a Broker user, I want to Upload and Validate the error message to have accurate text.",Functional
"As a Broker user, I want the D1 file generation to be synced with the FPDS data load, so that I don't have to regenerate a file if no data has been updated.",Functional
"As a Website user, I want to access published FABS files, so that I can see the new files as they come in.",Functional
"As an owner, I want to be sure that USAspending only send grant records to my system.",Functional
"As a Developer, I want to update the Broker validation rule table to account for the rule updates in DB-2213.",Functional
"As a Developer, I want to add the GTAS window data to the database, so that I can ensure the site is locked down during the GTAS submission period.",Functional
"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.",Performance
"As a user, I want to access the raw agency published files from FABS via USAspending.",Functional
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Performance
"As a Broker user, I want to help create content mockups, so that I can submit my data efficiently.",Functional
"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what wants to be fixed.",Usability
"As an Owner, I want to create a user testing summary from the UI SME, so that I can know what UI improvements we will follow through on.",Usability
"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.",Usability
"As a UI designer, I want to schedule user testing, so that I can give the testers advanced notice to ensure buy-in.",Usability
"As an Owner, I want to design a schedule from the UI SME, so that I know the potential timeline of the UI improvements wanted.",Usability
"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements wanted.",Usability
"As a Developer, I want to prevent users from double publishing FABS submissions after refreshing, so that there are no duplicates.",Functional
"As an data user, I want to receive updates to FABS records.",Functional
"As an Agency user, I want to be able to include a large number of flexfields without performance impact.",Performance
"As a Developer, I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.",Functional
"As an agency user, I want to ensure that deleted FSRS records are not included in submissions.",Functional
"As a website user, I want to see updated financial assistance data daily.",Functional
"As a user, I want the publish button in FABS to deactivate after I click it while the derivations are happening, so that I cannot click it multiple times for the same submission.",Usability
"As a Developer, I want to ensure that attempts to correct or delete non-existent records don't create new published data.",Functional
"As an Owner, I want to reset the environment to only take Staging MAX permissions, so that I can ensure that the FABS testers no longer have access.",Security
"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.",Usability
"As a user, I want to have accurate and complete data related to PPoPCode and PPoPCongressionalDistrict.",Functional
"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.",Functional
"As an Agency user, I want FABS deployed into production, so I can submit my Financial Assistance data.",Functional
"As a Developer, I want to clarify to users what exactly is triggering the CFDA error code in each case.",Usability
"As an agency user, I want to be confident that the data coming from SAM is complete.",Functional
"As a Developer, I want my domain models to be indexed properly, so that I can get validation results back in a reasonable amount of time.",Performance
"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.",Functional
"As a broker team member, I want to make some updates to the SQL codes for clarity.",Functional
